#Timeout: 10
#Number of formulas: 100000
Formula;sat;time;aux
eq10148.txt.smt2;sat;0.27
eq10149.txt.smt2;unsat;0.01
eq1015.txt.smt2;unsat;0.01
eq10150.txt.smt2;unsat;0.01
eq10151.txt.smt2;unsat;0.01
eq10152.txt.smt2;unsat;0.01
eq10153.txt.smt2;sat;0.43
eq10154.txt.smt2;unsat;0.01
eq10155.txt.smt2;unsat;0.01
eq10156.txt.smt2;unsat;0.01
eq10157.txt.smt2;sat;1.6
eq10158.txt.smt2;unsat;0.02
eq10159.txt.smt2;unsat;0.01
eq1016.txt.smt2;unsat;0.01
eq10160.txt.smt2;unsat;0.01
eq10161.txt.smt2;unsat;0.01
eq10162.txt.smt2;unsat;0.01
eq10163.txt.smt2;unsat;0.01
eq10164.txt.smt2;unsat;0.01
eq10165.txt.smt2;unsat;0.01
eq10166.txt.smt2;unsat;0.01
eq10167.txt.smt2;unsat;0.01
eq10168.txt.smt2;unsat;0.01
eq10169.txt.smt2;unsat;0.01
eq1017.txt.smt2;unsat;0.01
eq10170.txt.smt2;unsat;0.01
eq10171.txt.smt2;unsat;0.01
eq10172.txt.smt2;unsat;0.01
eq10173.txt.smt2;unsat;0.01
eq10174.txt.smt2;unsat;0.01
eq10175.txt.smt2;unsat;0.01
eq10176.txt.smt2;unsat;0.01
eq10177.txt.smt2;unsat;0.0
eq10178.txt.smt2;sat;0.2
eq10179.txt.smt2;unsat;0.01
eq1018.txt.smt2;unsat;0.01
eq10180.txt.smt2;sat;0.22
eq10181.txt.smt2;unsat;0.01
eq10182.txt.smt2;unsat;0.01
eq10183.txt.smt2;unsat;0.01
eq10184.txt.smt2;unsat;0.01
eq10185.txt.smt2;unsat;0.01
eq10186.txt.smt2;unsat;0.01
eq10187.txt.smt2;unsat;0.01
eq10188.txt.smt2;unsat;0.01
eq10189.txt.smt2;unsat;0.01
eq1019.txt.smt2;unsat;0.01
eq10190.txt.smt2;unsat;0.01
eq10191.txt.smt2;unsat;0.01
eq10192.txt.smt2;unsat;0.01
eq10193.txt.smt2;sat;0.43
eq10194.txt.smt2;unsat;0.01
eq10195.txt.smt2;unsat;0.01
eq10196.txt.smt2;unsat;0.01
eq10197.txt.smt2;unsat;0.01
eq10198.txt.smt2;unsat;0.01
eq10199.txt.smt2;unsat;0.01
eq102.txt.smt2;unsat;0.05
eq1020.txt.smt2;unsat;0.01
eq10200.txt.smt2;unsat;0.01
eq10201.txt.smt2;unsat;0.01
eq10202.txt.smt2;unsat;0.01
eq10203.txt.smt2;unsat;0.01
eq10204.txt.smt2;unsat;0.01
eq10205.txt.smt2;unsat;0.01
eq10206.txt.smt2;unsat;0.01
eq10207.txt.smt2;unsat;0.01
eq10208.txt.smt2;unsat;0.01
eq10209.txt.smt2;unsat;0.01
eq1021.txt.smt2;unsat;0.01
eq10210.txt.smt2;unsat;0.01
eq10212.txt.smt2;sat;0.41
eq10213.txt.smt2;sat;0.46
eq10214.txt.smt2;unsat;0.01
eq10215.txt.smt2;unsat;0.01
