#Timeout: 10
#Number of formulas: 1000
Formula;sat;time;aux
eq599.txt.smt2;sat;0.22;True
eq6.txt.smt2;sat;0.27;True
eq60.txt.smt2;sat;0.31;True
eq600.txt.smt2;sat;0.88;True
eq601.txt.smt2;sat;0.33;True
eq602.txt.smt2;sat;0.4;True
eq603.txt.smt2;sat;0.28;True
eq604.txt.smt2;sat;0.22;True
eq605.txt.smt2;sat;0.23;True
eq606.txt.smt2;sat;0.4;True
eq607.txt.smt2;sat;0.26;True
eq608.txt.smt2;sat;0.27;True
eq609.txt.smt2;sat;0.39;True
eq61.txt.smt2;sat;0.26;True
eq610.txt.smt2;sat;0.4;True
eq611.txt.smt2;sat;0.26;True
eq612.txt.smt2;sat;1.08;True
eq613.txt.smt2;sat;1.07;True
eq614.txt.smt2;sat;0.4;True
eq615.txt.smt2;sat;0.28;True
eq616.txt.smt2;sat;1.02;True
eq617.txt.smt2;sat;0.29;True
eq618.txt.smt2;sat;0.39;True
eq619.txt.smt2;sat;0.35;True
eq62.txt.smt2;sat;0.23;True
eq620.txt.smt2;sat;0.33;True
eq621.txt.smt2;sat;0.4;True
eq622.txt.smt2;sat;0.33;True
eq623.txt.smt2;sat;0.23;True
eq624.txt.smt2;sat;0.27;True
eq625.txt.smt2;sat;0.33;True
eq626.txt.smt2;sat;0.33;True
eq627.txt.smt2;sat;0.23;True
eq628.txt.smt2;sat;1.09;True
eq629.txt.smt2;sat;0.22;True
eq63.txt.smt2;sat;0.2;True
eq630.txt.smt2;sat;0.4;True
eq631.txt.smt2;sat;0.34;True
eq632.txt.smt2;sat;0.4;True
eq633.txt.smt2;sat;0.23;True
eq634.txt.smt2;sat;0.22;True
eq635.txt.smt2;sat;0.26;True
eq636.txt.smt2;sat;0.26;True
eq637.txt.smt2;sat;0.33;True
eq638.txt.smt2;sat;0.4;True
eq639.txt.smt2;sat;0.33;True
eq64.txt.smt2;sat;0.33;True
eq640.txt.smt2;sat;0.22;True
eq641.txt.smt2;sat;0.4;True
eq642.txt.smt2;sat;0.22;True
eq643.txt.smt2;sat;0.4;True
eq644.txt.smt2;sat;0.38;True
eq645.txt.smt2;sat;0.34;True
eq646.txt.smt2;sat;0.26;True
eq647.txt.smt2;sat;1.08;True
eq648.txt.smt2;sat;0.4;True
eq649.txt.smt2;sat;0.27;True
eq65.txt.smt2;sat;0.23;True
eq650.txt.smt2;sat;0.22;True
eq651.txt.smt2;sat;0.39;True
eq652.txt.smt2;sat;1.08;True
eq653.txt.smt2;sat;0.33;True
eq654.txt.smt2;sat;0.22;True
eq655.txt.smt2;sat;0.38;True
eq656.txt.smt2;sat;0.4;True
eq657.txt.smt2;sat;0.4;True
eq658.txt.smt2;sat;0.28;True
eq659.txt.smt2;sat;0.33;True
eq66.txt.smt2;sat;0.88;True
eq660.txt.smt2;sat;0.22;True
eq661.txt.smt2;sat;0.22;True
eq662.txt.smt2;sat;0.28;True
eq663.txt.smt2;sat;0.27;True
eq664.txt.smt2;sat;0.4;True
eq665.txt.smt2;sat;0.26;True
eq666.txt.smt2;sat;0.28;True
eq667.txt.smt2;sat;0.33;True
eq668.txt.smt2;sat;0.26;True
eq669.txt.smt2;sat;0.26;True
eq67.txt.smt2;sat;1.85;True
eq670.txt.smt2;sat;0.33;True
eq671.txt.smt2;sat;0.23;True
eq672.txt.smt2;sat;0.38;True
eq673.txt.smt2;sat;0.23;True
eq674.txt.smt2;sat;0.22;True
eq675.txt.smt2;sat;0.27;True
eq676.txt.smt2;sat;0.23;True
eq677.txt.smt2;sat;1.09;True
eq678.txt.smt2;sat;0.28;True
eq679.txt.smt2;sat;0.26;True
eq68.txt.smt2;sat;0.4;True
eq680.txt.smt2;sat;0.33;True
eq681.txt.smt2;sat;0.86;True
eq682.txt.smt2;sat;0.4;True
eq683.txt.smt2;sat;0.32;True
eq684.txt.smt2;sat;0.26;True
eq685.txt.smt2;sat;0.08;True
eq686.txt.smt2;sat;0.23;True
eq687.txt.smt2;sat;0.26;True
eq688.txt.smt2;sat;0.28;True
eq689.txt.smt2;sat;0.39;True
eq69.txt.smt2;sat;0.39;True
eq690.txt.smt2;sat;0.26;True
eq691.txt.smt2;sat;0.19;True
eq692.txt.smt2;sat;0.26;True
eq693.txt.smt2;sat;0.4;True
eq694.txt.smt2;sat;0.39;True
