# Timeout: 10
# Number of formulas: 1000
Formula; sat; time
eq296.txt.smt2; sat           ; 0.09
eq297.txt.smt2; sat           ; 0.03
eq298.txt.smt2; sat           ; 0.06
eq299.txt.smt2; sat           ; 0.1
eq3.txt.smt2; sat             ; 0.04
eq30.txt.smt2; sat            ; 0.07
eq300.txt.smt2; sat           ; 0.04
eq301.txt.smt2; sat           ; 0.04
eq302.txt.smt2; sat           ; 0.09
eq303.txt.smt2; sat           ; 0.03
eq304.txt.smt2; sat           ; 0.05
eq305.txt.smt2; sat           ; 0.09
eq306.txt.smt2; sat           ; 0.04
eq307.txt.smt2; sat           ; 0.04
eq308.txt.smt2; sat           ; 0.04
eq309.txt.smt2; sat           ; 0.04
eq31.txt.smt2; sat            ; 0.04
eq310.txt.smt2; sat           ; 0.06
eq311.txt.smt2; sat           ; 0.06
eq312.txt.smt2; sat           ; 0.03
eq313.txt.smt2; sat           ; 0.06
eq314.txt.smt2; sat           ; 0.1
eq315.txt.smt2; sat           ; 0.14
eq316.txt.smt2; sat           ; 0.04
eq317.txt.smt2; sat           ; 0.05
eq318.txt.smt2; sat           ; 0.05
eq319.txt.smt2; sat           ; 0.14
eq32.txt.smt2; sat            ; 0.04
eq320.txt.smt2; sat           ; 0.07
eq321.txt.smt2; sat           ; 0.03
eq322.txt.smt2; sat           ; 0.04
eq323.txt.smt2; sat           ; 0.06
eq324.txt.smt2; sat           ; 0.04
eq325.txt.smt2; sat           ; 0.06
eq326.txt.smt2; sat           ; 0.05
eq327.txt.smt2; sat           ; 0.1
eq328.txt.smt2; sat           ; 0.02
eq329.txt.smt2; sat           ; 0.28
eq33.txt.smt2; sat            ; 0.06
eq330.txt.smt2; sat           ; 0.05
eq331.txt.smt2; sat           ; 0.04
eq332.txt.smt2; sat           ; 0.02
eq333.txt.smt2; sat           ; 0.06
eq334.txt.smt2; sat           ; 0.07
eq335.txt.smt2; sat           ; 0.06
eq336.txt.smt2; sat           ; 0.07
eq337.txt.smt2; sat           ; 0.1
eq338.txt.smt2; sat           ; 0.04
eq339.txt.smt2; sat           ; 0.03
eq34.txt.smt2; sat            ; 0.07
eq340.txt.smt2; sat           ; 0.04
eq341.txt.smt2; sat           ; 0.04
eq342.txt.smt2; sat           ; 0.07
eq343.txt.smt2; sat           ; 0.02
eq344.txt.smt2; sat           ; 0.15
eq345.txt.smt2; sat           ; 0.07
eq346.txt.smt2; sat           ; 0.1
eq347.txt.smt2; sat           ; 0.05
eq348.txt.smt2; sat           ; 0.11
eq349.txt.smt2; sat           ; 0.04
eq35.txt.smt2; sat            ; 0.04
eq350.txt.smt2; sat           ; 0.02
eq351.txt.smt2; sat           ; 0.08
eq352.txt.smt2; sat           ; 0.07
eq353.txt.smt2; sat           ; 0.04
eq354.txt.smt2; sat           ; 0.05
eq355.txt.smt2; sat           ; 0.07
eq356.txt.smt2; sat           ; 0.07
eq357.txt.smt2; sat           ; 0.04
eq358.txt.smt2; sat           ; 0.02
eq359.txt.smt2; sat           ; 0.05
eq36.txt.smt2; sat            ; 0.09
eq360.txt.smt2; sat           ; 0.14
eq361.txt.smt2; sat           ; 0.04
eq362.txt.smt2; sat           ; 0.06
eq363.txt.smt2; sat           ; 0.08
eq364.txt.smt2; sat           ; 0.08
eq365.txt.smt2; sat           ; 0.05
eq366.txt.smt2; sat           ; 0.05
eq367.txt.smt2; sat           ; 0.03
eq368.txt.smt2; sat           ; 0.03
eq369.txt.smt2; sat           ; 0.05
eq37.txt.smt2; sat            ; 0.07
eq370.txt.smt2; sat           ; 0.1
eq371.txt.smt2; sat           ; 0.14
eq372.txt.smt2; sat           ; 0.07
eq373.txt.smt2; sat           ; 0.07
eq374.txt.smt2; sat           ; 0.04
eq375.txt.smt2; sat           ; 0.1
eq376.txt.smt2; sat           ; 0.04
eq377.txt.smt2; sat           ; 0.09
eq378.txt.smt2; sat           ; 0.05
eq379.txt.smt2; sat           ; 0.02
eq38.txt.smt2; sat            ; 0.03
eq380.txt.smt2; sat           ; 0.09
eq381.txt.smt2; sat           ; 0.04
eq382.txt.smt2; sat           ; 0.07
eq383.txt.smt2; sat           ; 0.08
eq384.txt.smt2; sat           ; 0.06
eq385.txt.smt2; sat           ; 0.13
eq386.txt.smt2; sat           ; 0.1
eq387.txt.smt2; sat           ; 0.06
eq388.txt.smt2; sat           ; 0.1
eq389.txt.smt2; sat           ; 0.04
eq39.txt.smt2; sat            ; 0.06
eq390.txt.smt2; sat           ; 0.01
eq391.txt.smt2; sat           ; 0.04
eq392.txt.smt2; sat           ; 0.05
eq393.txt.smt2; sat           ; 0.02
eq394.txt.smt2; sat           ; 0.03
eq395.txt.smt2; sat           ; 0.05
eq396.txt.smt2; sat           ; 0.05
eq397.txt.smt2; sat           ; 0.09
eq398.txt.smt2; sat           ; 0.1
