#Timeout: 10
#Number of formulas: 1000
Formula; sat; time
eq279.txt.smt2; sat                        ;	 0.99
eq28.txt.smt2; TO                          ;	 TO
eq280.txt.smt2; sat                        ;	 0.08
eq281.txt.smt2; sat                        ;	 0.09
eq282.txt.smt2; sat                        ;	 3.94
eq283.txt.smt2; sat                        ;	 0.08
eq284.txt.smt2; sat                        ;	 0.05
eq285.txt.smt2; sat                        ;	 0.1
eq286.txt.smt2; sat                        ;	 0.04
eq287.txt.smt2; TO                         ;	 TO
eq288.txt.smt2; TO                         ;	 TO
eq289.txt.smt2; sat                        ;	 0.18
eq29.txt.smt2; sat                         ;	 0.07
eq290.txt.smt2; TO                         ;	 TO
eq291.txt.smt2; sat                        ;	 0.14
eq292.txt.smt2; sat                        ;	 1.76
eq293.txt.smt2; sat                        ;	 0.2
eq294.txt.smt2; sat                        ;	 0.44
eq295.txt.smt2; sat                        ;	 0.13
eq296.txt.smt2; sat                        ;	 0.58
eq297.txt.smt2; sat                        ;	 0.08
eq298.txt.smt2; TO                         ;	 TO
eq299.txt.smt2; TO                         ;	 TO
eq3.txt.smt2; sat                          ;	 0.03
eq30.txt.smt2; TO                          ;	 TO
eq300.txt.smt2; TO                         ;	 TO
eq301.txt.smt2; TO                         ;	 TO
eq302.txt.smt2; sat                        ;	 0.13
eq303.txt.smt2; sat                        ;	 0.19
eq304.txt.smt2; sat                        ;	 0.05
eq305.txt.smt2; TO                         ;	 TO
eq306.txt.smt2; sat                        ;	 0.73
eq307.txt.smt2; sat                        ;	 4.36
eq308.txt.smt2; TO                         ;	 TO
eq309.txt.smt2; sat                        ;	 0.55
eq31.txt.smt2; TO                          ;	 TO
eq310.txt.smt2; sat                        ;	 0.2
eq311.txt.smt2; TO                         ;	 TO
eq312.txt.smt2; TO                         ;	 TO
eq313.txt.smt2; TO                         ;	 TO
eq314.txt.smt2; TO                         ;	 TO
eq315.txt.smt2; sat                        ;	 0.11
eq316.txt.smt2; sat                        ;	 0.11
eq317.txt.smt2; sat                        ;	 1.47
