# Timeout: 10
# Number of formulas: 1000
Formula; sat; time; check
eq269.txt.smt2; TO            ; TO   ; TO
eq27.txt.smt2; TO             ; TO   ; TO
eq270.txt.smt2; TO            ; TO   ; TO
eq271.txt.smt2; TO            ; TO   ; TO
eq272.txt.smt2; TO            ; TO   ; TO
eq273.txt.smt2; TO            ; TO   ; TO
eq274.txt.smt2; TO            ; TO   ; TO
eq275.txt.smt2; TO            ; TO   ; TO
eq276.txt.smt2; TO            ; TO   ; TO
eq277.txt.smt2; TO            ; TO   ; TO
eq278.txt.smt2; TO            ; TO   ; TO
eq279.txt.smt2; TO            ; TO   ; TO
eq28.txt.smt2; TO             ; TO   ; TO
eq280.txt.smt2; TO            ; TO   ; TO
eq281.txt.smt2; TO            ; TO   ; TO
eq282.txt.smt2; TO            ; TO   ; TO
eq283.txt.smt2; TO            ; TO   ; TO
eq284.txt.smt2; Sat           ; 2.48 ; True
eq285.txt.smt2; TO            ; TO   ; TO
eq286.txt.smt2; Sat           ; 2.17 ; True
eq287.txt.smt2; TO            ; TO   ; TO
eq288.txt.smt2; TO            ; TO   ; TO
eq289.txt.smt2; TO            ; TO   ; TO
eq29.txt.smt2; TO             ; TO   ; TO
eq290.txt.smt2; TO            ; TO   ; TO
eq291.txt.smt2; TO            ; TO   ; TO
eq292.txt.smt2; TO            ; TO   ; TO
eq293.txt.smt2; TO            ; TO   ; TO
eq294.txt.smt2; TO            ; TO   ; TO
eq295.txt.smt2; TO            ; TO   ; TO
eq296.txt.smt2; TO            ; TO   ; TO
eq297.txt.smt2; TO            ; TO   ; TO
eq298.txt.smt2; TO            ; TO   ; TO
eq299.txt.smt2; TO            ; TO   ; TO
eq3.txt.smt2; TO              ; TO   ; TO
eq30.txt.smt2; TO             ; TO   ; TO
eq300.txt.smt2; TO            ; TO   ; TO
eq301.txt.smt2; TO            ; TO   ; TO
eq302.txt.smt2; TO            ; TO   ; TO
eq303.txt.smt2; TO            ; TO   ; TO
eq304.txt.smt2; TO            ; TO   ; TO
eq305.txt.smt2; TO            ; TO   ; TO
eq306.txt.smt2; TO            ; TO   ; TO
eq307.txt.smt2; TO            ; TO   ; TO
eq308.txt.smt2; TO            ; TO   ; TO
eq309.txt.smt2; TO            ; TO   ; TO
eq31.txt.smt2; TO             ; TO   ; TO
eq310.txt.smt2; TO            ; TO   ; TO
eq311.txt.smt2; TO            ; TO   ; TO
eq312.txt.smt2; TO            ; TO   ; TO
eq313.txt.smt2; TO            ; TO   ; TO
eq314.txt.smt2; TO            ; TO   ; TO
eq315.txt.smt2; TO            ; TO   ; TO
eq316.txt.smt2; Sat           ; 2.68 ; True
eq317.txt.smt2; TO            ; TO   ; TO
eq318.txt.smt2; TO            ; TO   ; TO
eq319.txt.smt2; TO            ; TO   ; TO
eq32.txt.smt2; TO             ; TO   ; TO
eq320.txt.smt2; TO            ; TO   ; TO
eq321.txt.smt2; TO            ; TO   ; TO
eq322.txt.smt2; TO            ; TO   ; TO
eq323.txt.smt2; TO            ; TO   ; TO
eq324.txt.smt2; TO            ; TO   ; TO
eq325.txt.smt2; TO            ; TO   ; TO
eq326.txt.smt2; TO            ; TO   ; TO
eq327.txt.smt2; TO            ; TO   ; TO
eq328.txt.smt2; Sat           ; 2.64 ; True
eq329.txt.smt2; TO            ; TO   ; TO
eq33.txt.smt2; TO             ; TO   ; TO
eq330.txt.smt2; TO            ; TO   ; TO
eq331.txt.smt2; TO            ; TO   ; TO
eq332.txt.smt2; Sat           ; 2.69 ; True
eq333.txt.smt2; TO            ; TO   ; TO
eq334.txt.smt2; TO            ; TO   ; TO
eq335.txt.smt2; TO            ; TO   ; TO
eq336.txt.smt2; TO            ; TO   ; TO
eq337.txt.smt2; TO            ; TO   ; TO
eq338.txt.smt2; TO            ; TO   ; TO
eq339.txt.smt2; Sat           ; 2.73 ; True
eq34.txt.smt2; TO             ; TO   ; TO
eq340.txt.smt2; Sat           ; 2.69 ; True
eq341.txt.smt2; Sat           ; 2.61 ; True
eq342.txt.smt2; TO            ; TO   ; TO
eq343.txt.smt2; Sat           ; 2.09 ; True
eq344.txt.smt2; TO            ; TO   ; TO
eq345.txt.smt2; TO            ; TO   ; TO
eq346.txt.smt2; TO            ; TO   ; TO
eq347.txt.smt2; TO            ; TO   ; TO
eq348.txt.smt2; TO            ; TO   ; TO
eq349.txt.smt2; TO            ; TO   ; TO
eq35.txt.smt2; TO             ; TO   ; TO
eq350.txt.smt2; Sat           ; 2.2  ; True
eq351.txt.smt2; TO            ; TO   ; TO
eq352.txt.smt2; TO            ; TO   ; TO
eq353.txt.smt2; Sat           ; 2.68 ; True
eq354.txt.smt2; TO            ; TO   ; TO
eq355.txt.smt2; TO            ; TO   ; TO
eq356.txt.smt2; TO            ; TO   ; TO
eq357.txt.smt2; TO            ; TO   ; TO
eq358.txt.smt2; Sat           ; 2.48 ; True
eq359.txt.smt2; TO            ; TO   ; TO
eq36.txt.smt2; TO             ; TO   ; TO
eq360.txt.smt2; TO            ; TO   ; TO
eq361.txt.smt2; TO            ; TO   ; TO
eq362.txt.smt2; TO            ; TO   ; TO
eq363.txt.smt2; TO            ; TO   ; TO
eq364.txt.smt2; TO            ; TO   ; TO
eq365.txt.smt2; TO            ; TO   ; TO
eq366.txt.smt2; TO            ; TO   ; TO
eq367.txt.smt2; TO            ; TO   ; TO
eq368.txt.smt2; TO            ; TO   ; TO
eq369.txt.smt2; TO            ; TO   ; TO
eq37.txt.smt2; TO             ; TO   ; TO
eq370.txt.smt2; TO            ; TO   ; TO
eq371.txt.smt2; TO            ; TO   ; TO
eq372.txt.smt2; TO            ; TO   ; TO
eq373.txt.smt2; TO            ; TO   ; TO
eq374.txt.smt2; Sat           ; 2.51 ; True
eq375.txt.smt2; TO            ; TO   ; TO
eq376.txt.smt2; TO            ; TO   ; TO
eq377.txt.smt2; TO            ; TO   ; TO
eq378.txt.smt2; TO            ; TO   ; TO
eq379.txt.smt2; Sat           ; 2.71 ; True
eq38.txt.smt2; TO             ; TO   ; TO
eq380.txt.smt2; TO            ; TO   ; TO
eq381.txt.smt2; TO            ; TO   ; TO
eq382.txt.smt2; TO            ; TO   ; TO
eq383.txt.smt2; TO            ; TO   ; TO
eq384.txt.smt2; TO            ; TO   ; TO
eq385.txt.smt2; TO            ; TO   ; TO
eq386.txt.smt2; TO            ; TO   ; TO
eq387.txt.smt2; TO            ; TO   ; TO
eq388.txt.smt2; TO            ; TO   ; TO
eq389.txt.smt2; TO            ; TO   ; TO
eq39.txt.smt2; TO             ; TO   ; TO
eq390.txt.smt2; Sat           ; 2.2  ; True
eq391.txt.smt2; TO            ; TO   ; TO
eq392.txt.smt2; TO            ; TO   ; TO
eq393.txt.smt2; Sat           ; 2.17 ; True
eq394.txt.smt2; Sat           ; 2.65 ; True
eq395.txt.smt2; TO            ; TO   ; TO
eq396.txt.smt2; TO            ; TO   ; TO
eq397.txt.smt2; TO            ; TO   ; TO
eq398.txt.smt2; TO            ; TO   ; TO
eq399.txt.smt2; TO            ; TO   ; TO
eq4.txt.smt2; TO              ; TO   ; TO
eq40.txt.smt2; TO             ; TO   ; TO
eq400.txt.smt2; TO            ; TO   ; TO
eq401.txt.smt2; TO            ; TO   ; TO
eq402.txt.smt2; TO            ; TO   ; TO
eq403.txt.smt2; Sat           ; 2.19 ; True
eq404.txt.smt2; TO            ; TO   ; TO
eq405.txt.smt2; TO            ; TO   ; TO
eq406.txt.smt2; TO            ; TO   ; TO
eq407.txt.smt2; Sat           ; 2.69 ; True
eq408.txt.smt2; TO            ; TO   ; TO
eq409.txt.smt2; TO            ; TO   ; TO
eq41.txt.smt2; TO             ; TO   ; TO
eq410.txt.smt2; TO            ; TO   ; TO
eq411.txt.smt2; TO            ; TO   ; TO
eq412.txt.smt2; TO            ; TO   ; TO
eq413.txt.smt2; TO            ; TO   ; TO
eq414.txt.smt2; TO            ; TO   ; TO
eq415.txt.smt2; TO            ; TO   ; TO
eq416.txt.smt2; TO            ; TO   ; TO
eq417.txt.smt2; TO            ; TO   ; TO
eq418.txt.smt2; TO            ; TO   ; TO
eq419.txt.smt2; Sat           ; 2.71 ; True
eq42.txt.smt2; Sat            ; 2.16 ; True
eq420.txt.smt2; Sat           ; 2.68 ; True
eq421.txt.smt2; TO            ; TO   ; TO
eq422.txt.smt2; TO            ; TO   ; TO
eq423.txt.smt2; TO            ; TO   ; TO
