#Timeout: 10
#Number of formulas: 1000
Formula;  sat; time; check
eq-hard.txt.smt2; sat         	;0.6 ;	 True
eq283.txt.smt2; sat           	;2.34;	 True
eq284.txt.smt2; sat           	;0.4 ;	 True
eq285.txt.smt2; TO            	;TO  ;	 TO
eq286.txt.smt2; sat           	;0.25;	 True
eq287.txt.smt2; TO            	;TO  ;	 TO
eq288.txt.smt2; TO            	;TO  ;	 TO
eq289.txt.smt2; sat           	;4.41;	 True
eq29.txt.smt2; sat            	;4.21;	 True
eq290.txt.smt2; TO            	;TO  ;	 TO
eq291.txt.smt2; TO            	;TO  ;	 TO
eq292.txt.smt2; sat           	;6.02;	 True
eq293.txt.smt2; TO            	;TO  ;	 TO
eq294.txt.smt2; sat           	;5.14;	 True
eq295.txt.smt2; TO            	;TO  ;	 TO
eq296.txt.smt2; sat           	;9.09;	 True
eq297.txt.smt2; sat           	;4.45;	 True
eq298.txt.smt2; TO            	;TO  ;	 TO
eq299.txt.smt2; TO            	;TO  ;	 TO
eq3.txt.smt2; sat             	;5.38;	 True
eq30.txt.smt2; TO             	;TO  ;	 TO
eq300.txt.smt2; TO            	;TO  ;	 TO
eq301.txt.smt2; TO            	;TO  ;	 TO
eq302.txt.smt2; TO            	;TO  ;	 TO
eq303.txt.smt2; TO            	;TO  ;	 TO
eq304.txt.smt2; sat           	;3.29;	 True
eq305.txt.smt2; sat           	;9.56;	 True
eq306.txt.smt2; sat           	;5.03;	 True
eq307.txt.smt2; TO            	;TO  ;	 TO
eq308.txt.smt2; sat           	;8.83;	 True
eq309.txt.smt2; TO            	;TO  ;	 TO
eq31.txt.smt2; TO             	;TO  ;	 TO
eq310.txt.smt2; TO            	;TO  ;	 TO
eq311.txt.smt2; sat           	;9.05;	 True
eq312.txt.smt2; sat           	;8.86;	 True
eq313.txt.smt2; sat           	;8.87;	 True
eq314.txt.smt2; TO            	;TO  ;	 TO
eq315.txt.smt2; TO            	;TO  ;	 TO
eq316.txt.smt2; sat           	;0.35;	 True
eq317.txt.smt2; sat           	;4.41;	 True
eq318.txt.smt2; sat           	;4.51;	 True
eq319.txt.smt2; TO            	;TO  ;	 TO
eq32.txt.smt2; sat            	;3.04;	 True
eq320.txt.smt2; sat           	;5.25;	 True
eq321.txt.smt2; TO            	;TO  ;	 TO
eq322.txt.smt2; sat           	;5.96;	 True
eq323.txt.smt2; sat           	;8.8 ;	 True
eq324.txt.smt2; sat           	;5.34;	 True
eq325.txt.smt2; TO            	;TO  ;	 TO
eq326.txt.smt2; sat           	;8.73;	 True
eq327.txt.smt2; TO            	;TO  ;	 TO
eq328.txt.smt2; sat           	;0.4 ;	 True
