Timeout: 150
Number of formulas: 1000
Formula: time, sat
eq352.txt: TO	 TO
eq353.txt: Sat	 2.37
eq354.txt: TO	 TO
eq355.txt: Sat	 114.45
eq356.txt: TO	 TO
eq357.txt: TO	 TO
eq358.txt: Sat	 2.47
eq359.txt: TO	 TO
eq36.txt: TO	 TO
eq360.txt: TO	 TO
eq361.txt: Sat	 116.52
eq362.txt: TO	 TO
eq363.txt: TO	 TO
eq364.txt: TO	 TO
eq365.txt: TO	 TO
eq366.txt: Sat	 114.38
eq367.txt: Sat	 95.56
eq368.txt: Sat	 96.55
eq369.txt: Sat	 112.46
eq37.txt: Sat	 115.55
eq370.txt: TO	 TO
eq371.txt: TO	 TO
eq372.txt: Sat	 118.74
eq373.txt: TO	 TO
eq374.txt: Sat	 2.62
eq375.txt: TO	 TO
eq376.txt: Sat	 109.78
eq377.txt: TO	 TO
eq378.txt: TO	 TO
eq379.txt: Sat	 2.46
eq38.txt: TO	 TO
eq380.txt: TO	 TO
eq381.txt: TO	 TO
eq382.txt: TO	 TO
eq383.txt: TO	 TO
eq384.txt: TO	 TO
eq385.txt: TO	 TO
eq386.txt: TO	 TO
eq387.txt: TO	 TO
eq388.txt: TO	 TO
eq389.txt: TO	 TO
eq39.txt: TO	 TO
eq390.txt: Sat	 1.97
eq391.txt: TO	 TO
eq392.txt: Sat	 110.63
eq393.txt: Sat	 1.97
eq394.txt: Sat	 2.37
eq395.txt: TO	 TO
eq396.txt: Sat	 96.78
eq397.txt: TO	 TO
eq398.txt: TO	 TO
eq399.txt: TO	 TO
eq4.txt: Sat	 118.49
eq40.txt: TO	 TO
eq400.txt: Sat	 119.27
eq401.txt: TO	 TO
eq402.txt: TO	 TO
eq403.txt: Sat	 1.94
eq404.txt: TO	 TO
eq405.txt: TO	 TO
eq406.txt: TO	 TO
eq407.txt: Sat	 2.42
eq408.txt: TO	 TO
eq409.txt: TO	 TO
eq41.txt: TO	 TO
eq410.txt: Sat	 109.41
eq411.txt: TO	 TO
eq412.txt: TO	 TO
eq413.txt: TO	 TO
eq414.txt: TO	 TO
eq415.txt: TO	 TO
eq416.txt: TO	 TO
eq417.txt: TO	 TO
eq418.txt: Sat	 117.98
eq419.txt: Sat	 2.38
eq42.txt: Sat	 1.97
eq420.txt: Sat	 2.39
eq421.txt: Sat	 117.14
eq422.txt: TO	 TO
eq423.txt: Sat	 109.88
eq424.txt: TO	 TO
eq425.txt: Sat	 2.35
eq426.txt: TO	 TO
eq427.txt: Sat	 119.94
eq428.txt: Sat	 92.83
eq429.txt: TO	 TO
eq43.txt: Sat	 95.01
eq430.txt: TO	 TO
eq431.txt: TO	 TO
eq432.txt: Sat	 95.54
eq433.txt: Sat	 118.71
eq434.txt: TO	 TO
eq435.txt: TO	 TO
eq436.txt: Sat	 118.88
eq437.txt: TO	 TO
eq438.txt: TO	 TO
eq439.txt: TO	 TO
eq44.txt: TO	 TO
eq440.txt: Sat	 95.73
eq441.txt: TO	 TO
eq442.txt: TO	 TO
eq443.txt: Sat	 110.08
eq444.txt: Sat	 99.49
eq445.txt: TO	 TO
eq446.txt: TO	 TO
eq447.txt: TO	 TO
eq448.txt: Sat	 2.24
eq449.txt: Sat	 118.93
eq45.txt: TO	 TO
eq450.txt: TO	 TO
eq451.txt: Sat	 113.45
eq452.txt: TO	 TO
eq453.txt: TO	 TO
eq454.txt: TO	 TO
eq455.txt: TO	 TO
eq456.txt: Sat	 109.97
eq457.txt: Sat	 112.95
eq458.txt: TO	 TO
eq459.txt: Sat	 118.01
eq46.txt: TO	 TO
eq460.txt: Sat	 2.47
eq461.txt: TO	 TO
eq462.txt: TO	 TO
eq463.txt: Sat	 3.67
eq464.txt: TO	 TO
eq465.txt: Sat	 116.52
eq466.txt: Sat	 2.42
eq467.txt: TO	 TO
eq468.txt: TO	 TO
eq469.txt: Sat	 118.46
eq47.txt: TO	 TO
eq470.txt: Sat	 2.49
eq471.txt: TO	 TO
eq472.txt: Sat	 119.16
eq473.txt: TO	 TO
eq474.txt: TO	 TO
eq475.txt: TO	 TO
eq476.txt: Sat	 111.36
eq477.txt: TO	 TO
eq478.txt: Sat	 113.17
eq479.txt: TO	 TO
eq48.txt: TO	 TO
eq480.txt: TO	 TO
eq481.txt: Sat	 118.44
eq482.txt: TO	 TO
eq483.txt: TO	 TO
eq484.txt: TO	 TO
eq485.txt: TO	 TO
eq486.txt: Sat	 112.6
eq487.txt: TO	 TO
eq488.txt: Sat	 116.22
eq489.txt: Sat	 118.95
eq49.txt: TO	 TO
eq490.txt: TO	 TO
eq491.txt: TO	 TO
eq492.txt: TO	 TO
eq493.txt: TO	 TO
eq494.txt: Sat	 114.26
eq495.txt: Sat	 2.43
eq496.txt: TO	 TO
eq497.txt: TO	 TO
eq498.txt: TO	 TO
eq499.txt: TO	 TO
eq5.txt: TO	 TO
eq50.txt: Sat	 115.14
eq500.txt: TO	 TO
eq501.txt: TO	 TO
eq502.txt: TO	 TO
eq503.txt: Sat	 2.38
eq504.txt: Sat	 118.03
eq505.txt: TO	 TO
eq506.txt: TO	 TO
eq507.txt: Sat	 98.94
eq508.txt: TO	 TO
eq509.txt: TO	 TO
eq51.txt: TO	 TO
eq510.txt: TO	 TO
eq511.txt: TO	 TO
eq512.txt: TO	 TO
eq513.txt: TO	 TO
eq514.txt: TO	 TO
eq515.txt: Sat	 93.33
eq516.txt: TO	 TO
eq517.txt: TO	 TO
