Timeout: 10
Number of formulas: 1000
Formula: time, sat
eq605.txt: TO	 TO
eq606.txt: TO	 TO
eq607.txt: TO	 TO
eq608.txt: TO	 TO
eq609.txt: TO	 TO
eq61.txt: TO	 TO
eq610.txt: TO	 TO
eq611.txt: TO	 TO
eq612.txt: TO	 TO
eq613.txt: TO	 TO
eq614.txt: TO	 TO
eq615.txt: TO	 TO
eq616.txt: TO	 TO
eq617.txt: TO	 TO
eq618.txt: TO	 TO
eq619.txt: TO	 TO
eq62.txt: TO	 TO
eq620.txt: TO	 TO
eq621.txt: TO	 TO
eq622.txt: TO	 TO
eq623.txt: Sat	 5.75
eq624.txt: TO	 TO
eq625.txt: TO	 TO
eq626.txt: TO	 TO
eq627.txt: Sat	 5.86
eq628.txt: TO	 TO
eq629.txt: Sat	 5.88
eq63.txt: Sat	 3.57
eq630.txt: TO	 TO
eq631.txt: TO	 TO
eq632.txt: TO	 TO
eq633.txt: Sat	 5.9
eq634.txt: Sat	 5.76
eq635.txt: TO	 TO
eq636.txt: TO	 TO
eq637.txt: TO	 TO
eq638.txt: TO	 TO
eq639.txt: TO	 TO
eq64.txt: TO	 TO
eq640.txt: Sat	 5.78
eq641.txt: TO	 TO
eq642.txt: Sat	 5.66
eq643.txt: TO	 TO
eq644.txt: TO	 TO
eq645.txt: TO	 TO
eq646.txt: TO	 TO
eq647.txt: TO	 TO
eq648.txt: TO	 TO
eq649.txt: TO	 TO
eq65.txt: TO	 TO
eq650.txt: Sat	 5.7
eq651.txt: TO	 TO
eq652.txt: TO	 TO
eq653.txt: TO	 TO
eq654.txt: Sat	 5.52
eq655.txt: TO	 TO
eq656.txt: TO	 TO
eq657.txt: TO	 TO
eq658.txt: TO	 TO
eq659.txt: TO	 TO
eq66.txt: TO	 TO
eq660.txt: TO	 TO
eq661.txt: Sat	 5.77
eq662.txt: TO	 TO
eq663.txt: TO	 TO
eq664.txt: TO	 TO
eq665.txt: TO	 TO
eq666.txt: TO	 TO
eq667.txt: TO	 TO
eq668.txt: TO	 TO
eq669.txt: TO	 TO
eq67.txt: TO	 TO
eq670.txt: TO	 TO
eq671.txt: Sat	 5.64
eq672.txt: TO	 TO
eq673.txt: TO	 TO
eq674.txt: Sat	 5.53
eq675.txt: TO	 TO
eq676.txt: TO	 TO
eq677.txt: TO	 TO
eq678.txt: TO	 TO
eq679.txt: TO	 TO
eq68.txt: TO	 TO
eq680.txt: TO	 TO
eq681.txt: TO	 TO
eq682.txt: TO	 TO
eq683.txt: TO	 TO
eq684.txt: TO	 TO
eq685.txt: Sat	 3.84
eq686.txt: Sat	 5.64
eq687.txt: TO	 TO
eq688.txt: TO	 TO
eq689.txt: TO	 TO
eq69.txt: TO	 TO
eq690.txt: TO	 TO
eq691.txt: Sat	 3.41
eq692.txt: TO	 TO
eq693.txt: TO	 TO
eq694.txt: TO	 TO
eq695.txt: TO	 TO
eq696.txt: TO	 TO
eq697.txt: TO	 TO
eq698.txt: Sat	 5.63
eq699.txt: TO	 TO
eq7.txt: Sat	 5.64
eq70.txt: TO	 TO
eq700.txt: TO	 TO
eq701.txt: TO	 TO
eq702.txt: TO	 TO
eq703.txt: TO	 TO
eq704.txt: TO	 TO
eq705.txt: TO	 TO
eq706.txt: TO	 TO
eq707.txt: TO	 TO
eq708.txt: Sat	 5.63
eq709.txt: TO	 TO
eq71.txt: Sat	 5.72
eq710.txt: TO	 TO
eq711.txt: TO	 TO
eq712.txt: TO	 TO
eq713.txt: Sat	 3.63
eq714.txt: Sat	 5.63
eq715.txt: TO	 TO
eq716.txt: TO	 TO
eq717.txt: Sat	 5.66
eq718.txt: TO	 TO
eq719.txt: TO	 TO
eq72.txt: TO	 TO
eq720.txt: TO	 TO
eq721.txt: TO	 TO
eq722.txt: TO	 TO
eq723.txt: TO	 TO
eq724.txt: TO	 TO
eq725.txt: TO	 TO
eq726.txt: TO	 TO
eq727.txt: TO	 TO
eq728.txt: TO	 TO
eq729.txt: TO	 TO
eq73.txt: TO	 TO
eq730.txt: TO	 TO
eq731.txt: TO	 TO
eq732.txt: TO	 TO
eq733.txt: Sat	 5.63
eq734.txt: TO	 TO
eq735.txt: TO	 TO
eq736.txt: TO	 TO
eq737.txt: TO	 TO
eq738.txt: TO	 TO
eq739.txt: TO	 TO
eq74.txt: TO	 TO
eq740.txt: TO	 TO
eq741.txt: TO	 TO
eq742.txt: TO	 TO
eq743.txt: TO	 TO
eq744.txt: TO	 TO
eq745.txt: TO	 TO
eq746.txt: Sat	 3.48
eq747.txt: TO	 TO
eq748.txt: TO	 TO
eq749.txt: TO	 TO
eq75.txt: TO	 TO
eq750.txt: TO	 TO
eq751.txt: TO	 TO
eq752.txt: Sat	 3.63
eq753.txt: TO	 TO
eq754.txt: TO	 TO
eq755.txt: TO	 TO
eq756.txt: TO	 TO
eq757.txt: TO	 TO
eq758.txt: TO	 TO
eq759.txt: TO	 TO
eq76.txt: TO	 TO
eq760.txt: TO	 TO
eq761.txt: TO	 TO
eq762.txt: TO	 TO
eq763.txt: TO	 TO
eq764.txt: TO	 TO
eq765.txt: TO	 TO
eq766.txt: TO	 TO
eq767.txt: TO	 TO
eq768.txt: TO	 TO
eq769.txt: TO	 TO
eq77.txt: TO	 TO
eq770.txt: Sat	 5.65
eq771.txt: TO	 TO
eq772.txt: TO	 TO
eq773.txt: TO	 TO
eq774.txt: TO	 TO
eq775.txt: TO	 TO
eq776.txt: TO	 TO
eq777.txt: Sat	 3.5
eq778.txt: Sat	 5.77
eq779.txt: TO	 TO
eq78.txt: Sat	 5.8
eq780.txt: TO	 TO
eq781.txt: TO	 TO
eq782.txt: TO	 TO
eq783.txt: TO	 TO
eq784.txt: Sat	 5.65
eq785.txt: TO	 TO
eq786.txt: TO	 TO
eq787.txt: TO	 TO
eq788.txt: Sat	 5.62
eq789.txt: Sat	 5.8
eq79.txt: TO	 TO
eq790.txt: TO	 TO
eq791.txt: TO	 TO
eq792.txt: Sat	 5.76
eq793.txt: TO	 TO
eq794.txt: TO	 TO
eq795.txt: TO	 TO
eq796.txt: TO	 TO
eq797.txt: TO	 TO
eq798.txt: TO	 TO
eq799.txt: TO	 TO
eq8.txt: TO	 TO
eq80.txt: TO	 TO
eq800.txt: TO	 TO
eq801.txt: TO	 TO
eq802.txt: TO	 TO
eq803.txt: TO	 TO
eq804.txt: TO	 TO
eq805.txt: TO	 TO
eq806.txt: TO	 TO
eq807.txt: TO	 TO
eq808.txt: Sat	 3.55
eq809.txt: TO	 TO
eq81.txt: TO	 TO
eq810.txt: TO	 TO
eq811.txt: TO	 TO
eq812.txt: TO	 TO
eq813.txt: TO	 TO
eq814.txt: TO	 TO
eq815.txt: TO	 TO
eq816.txt: TO	 TO
eq817.txt: TO	 TO
eq818.txt: TO	 TO
eq819.txt: TO	 TO
eq82.txt: Sat	 5.61
eq820.txt: TO	 TO
eq821.txt: TO	 TO
eq822.txt: TO	 TO
eq823.txt: TO	 TO
eq824.txt: TO	 TO
eq825.txt: TO	 TO
eq826.txt: Sat	 5.8
eq827.txt: Sat	 3.54
