Timeout: 150
Number of formulas: 1000
Formula: time, sat
eq337.txt: TO	 TO
eq338.txt: Sat	 58.48
eq339.txt: Sat	 2.55
eq34.txt: TO	 TO
eq340.txt: Sat	 2.34
eq341.txt: Sat	 2.51
eq342.txt: Sat	 60.26
eq343.txt: Sat	 1.86
eq344.txt: TO	 TO
eq345.txt: TO	 TO
eq346.txt: TO	 TO
eq347.txt: Sat	 58.35
eq348.txt: TO	 TO
eq349.txt: Sat	 58.69
eq35.txt: TO	 TO
eq350.txt: Sat	 1.86
eq351.txt: TO	 TO
eq352.txt: TO	 TO
eq353.txt: Sat	 2.47
eq354.txt: TO	 TO
eq355.txt: Sat	 59.44
eq356.txt: TO	 TO
eq357.txt: TO	 TO
eq358.txt: Sat	 2.55
eq359.txt: TO	 TO
eq36.txt: TO	 TO
eq360.txt: TO	 TO
eq361.txt: Sat	 60.43
eq362.txt: TO	 TO
eq363.txt: TO	 TO
eq364.txt: TO	 TO
eq365.txt: TO	 TO
eq366.txt: Sat	 59.18
eq367.txt: Sat	 47.59
eq368.txt: Sat	 59.69
eq369.txt: Sat	 54.19
eq37.txt: Sat	 60.98
eq370.txt: TO	 TO
eq371.txt: TO	 TO
eq372.txt: Sat	 59.32
eq373.txt: TO	 TO
eq374.txt: Sat	 2.43
eq375.txt: TO	 TO
eq376.txt: Sat	 55.05
eq377.txt: TO	 TO
eq378.txt: TO	 TO
eq379.txt: Sat	 2.34
eq38.txt: TO	 TO
eq380.txt: TO	 TO
eq381.txt: TO	 TO
eq382.txt: TO	 TO
eq383.txt: TO	 TO
eq384.txt: TO	 TO
eq385.txt: TO	 TO
eq386.txt: TO	 TO
eq387.txt: TO	 TO
eq388.txt: TO	 TO
eq389.txt: TO	 TO
eq39.txt: TO	 TO
eq390.txt: Sat	 1.89
eq391.txt: TO	 TO
eq392.txt: Sat	 56.29
eq393.txt: Sat	 1.87
eq394.txt: Sat	 2.35
eq395.txt: TO	 TO
eq396.txt: Sat	 57.29
eq397.txt: TO	 TO
eq398.txt: TO	 TO
eq399.txt: TO	 TO
eq4.txt: Sat	 58.55
eq40.txt: TO	 TO
eq400.txt: Sat	 61.0
eq401.txt: TO	 TO
eq402.txt: TO	 TO
eq403.txt: Sat	 1.89
eq404.txt: TO	 TO
eq405.txt: TO	 TO
eq406.txt: TO	 TO
eq407.txt: Sat	 2.54
eq408.txt: TO	 TO
eq409.txt: TO	 TO
eq41.txt: TO	 TO
eq410.txt: Sat	 54.76
eq411.txt: TO	 TO
eq412.txt: TO	 TO
eq413.txt: TO	 TO
eq414.txt: TO	 TO
eq415.txt: TO	 TO
eq416.txt: TO	 TO
eq417.txt: TO	 TO
eq418.txt: Sat	 58.61
eq419.txt: Sat	 2.51
eq42.txt: Sat	 1.87
eq420.txt: Sat	 2.54
eq421.txt: Sat	 59.22
eq422.txt: TO	 TO
eq423.txt: Sat	 54.64
eq424.txt: TO	 TO
eq425.txt: Sat	 2.46
eq426.txt: TO	 TO
eq427.txt: Sat	 59.64
eq428.txt: Sat	 47.77
eq429.txt: TO	 TO
eq43.txt: Sat	 47.29
eq430.txt: TO	 TO
eq431.txt: TO	 TO
eq432.txt: Sat	 45.74
eq433.txt: Sat	 60.48
eq434.txt: TO	 TO
eq435.txt: TO	 TO
eq436.txt: Sat	 58.95
eq437.txt: TO	 TO
eq438.txt: TO	 TO
eq439.txt: TO	 TO
eq44.txt: TO	 TO
eq440.txt: Sat	 57.33
eq441.txt: TO	 TO
eq442.txt: TO	 TO
eq443.txt: Sat	 54.58
eq444.txt: Sat	 59.01
eq445.txt: TO	 TO
eq446.txt: TO	 TO
eq447.txt: TO	 TO
eq448.txt: Sat	 2.34
eq449.txt: Sat	 58.61
eq45.txt: TO	 TO
eq450.txt: TO	 TO
eq451.txt: Sat	 56.32
eq452.txt: TO	 TO
eq453.txt: TO	 TO
eq454.txt: TO	 TO
eq455.txt: TO	 TO
eq456.txt: Sat	 55.85
eq457.txt: Sat	 54.06
eq458.txt: TO	 TO
eq459.txt: Sat	 60.5
eq46.txt: TO	 TO
eq460.txt: Sat	 2.5
eq461.txt: TO	 TO
eq462.txt: TO	 TO
eq463.txt: Sat	 2.5
eq464.txt: TO	 TO
eq465.txt: Sat	 60.7
eq466.txt: Sat	 2.46
eq467.txt: TO	 TO
eq468.txt: TO	 TO
eq469.txt: Sat	 58.47
eq47.txt: TO	 TO
eq470.txt: Sat	 2.48
eq471.txt: TO	 TO
eq472.txt: Sat	 58.94
eq473.txt: TO	 TO
eq474.txt: TO	 TO
eq475.txt: TO	 TO
eq476.txt: Sat	 54.43
eq477.txt: TO	 TO
eq478.txt: Sat	 54.51
eq479.txt: TO	 TO
eq48.txt: TO	 TO
eq480.txt: TO	 TO
eq481.txt: Sat	 61.36
eq482.txt: TO	 TO
eq483.txt: TO	 TO
eq484.txt: TO	 TO
eq485.txt: TO	 TO
eq486.txt: Sat	 56.65
eq487.txt: TO	 TO
eq488.txt: Sat	 60.7
eq489.txt: Sat	 60.82
eq49.txt: TO	 TO
eq490.txt: TO	 TO
eq491.txt: TO	 TO
eq492.txt: TO	 TO
eq493.txt: TO	 TO
eq494.txt: Sat	 59.24
eq495.txt: Sat	 2.47
eq496.txt: TO	 TO
eq497.txt: TO	 TO
eq498.txt: TO	 TO
eq499.txt: TO	 TO
eq5.txt: TO	 TO
eq50.txt: Sat	 58.79
eq500.txt: TO	 TO
eq501.txt: TO	 TO
eq502.txt: TO	 TO
eq503.txt: Sat	 2.41
eq504.txt: Sat	 60.0
eq505.txt: TO	 TO
eq506.txt: TO	 TO
eq507.txt: Sat	 59.29
eq508.txt: TO	 TO
eq509.txt: TO	 TO
eq51.txt: TO	 TO
eq510.txt: TO	 TO
eq511.txt: TO	 TO
eq512.txt: TO	 TO
eq513.txt: TO	 TO
eq514.txt: TO	 TO
eq515.txt: Sat	 47.24
eq516.txt: TO	 TO
eq517.txt: TO	 TO
