#Timeout: 10
#Number of formulas: 1000
Formula; sat; time
quad-224-5-4-unsat.smt2; TO          ;	 TO
quad-225-5-4-sat.smt2; TO            ;	 TO
quad-226-5-4-unsat.smt2; TO          ;	 TO
quad-227-5-5-sat.smt2; TO            ;	 TO
quad-228-5-5-unsat.smt2; TO          ;	 TO
quad-229-5-5-sat.smt2; TO            ;	 TO
quad-230-5-5-unsat.smt2; TO          ;	 TO
quad-231-6-0-sat.smt2; TO            ;	 TO
quad-232-6-0-unsat.smt2; TO          ;	 TO
quad-233-6-1-sat.smt2; TO            ;	 TO
quad-234-6-1-unsat.smt2; TO          ;	 TO
quad-235-6-1-sat.smt2; TO            ;	 TO
quad-236-6-1-unsat.smt2; TO          ;	 TO
quad-237-6-2-sat.smt2; TO            ;	 TO
quad-238-6-2-unsat.smt2; TO          ;	 TO
quad-239-6-2-sat.smt2; TO            ;	 TO
quad-240-6-2-unsat.smt2; TO          ;	 TO
quad-241-4-2-sat.smt2; TO            ;	 TO
quad-242-4-2-unsat.smt2; TO          ;	 TO
quad-243-4-3-sat.smt2; TO            ;	 TO
quad-244-4-3-unsat.smt2; TO          ;	 TO
quad-245-4-3-sat.smt2; TO            ;	 TO
quad-246-4-3-unsat.smt2; TO          ;	 TO
quad-247-4-3-sat.smt2; TO            ;	 TO
quad-248-4-3-unsat.smt2; TO          ;	 TO
quad-249-4-3-sat.smt2; TO            ;	 TO
quad-250-4-3-unsat.smt2; unsat       ;	 0.03
quad-251-4-3-sat.smt2; TO            ;	 TO
quad-252-4-3-unsat.smt2; TO          ;	 TO
quad-253-4-4-sat.smt2; TO            ;	 TO
quad-254-4-4-unsat.smt2; TO          ;	 TO
quad-255-4-4-sat.smt2; TO            ;	 TO
quad-256-4-4-unsat.smt2; TO          ;	 TO
quad-257-4-4-sat.smt2; TO            ;	 TO
quad-258-4-4-unsat.smt2; TO          ;	 TO
quad-259-4-5-sat.smt2; TO            ;	 TO
quad-260-4-5-unsat.smt2; TO          ;	 TO
quad-261-5-1-sat.smt2; TO            ;	 TO
quad-262-5-1-unsat.smt2; TO          ;	 TO
quad-263-5-1-sat.smt2; TO            ;	 TO
quad-264-5-1-unsat.smt2; TO          ;	 TO
quad-265-5-2-sat.smt2; TO            ;	 TO
quad-266-5-2-unsat.smt2; TO          ;	 TO
quad-267-5-2-sat.smt2; TO            ;	 TO
quad-268-5-2-unsat.smt2; TO          ;	 TO
quad-269-5-2-sat.smt2; TO            ;	 TO
quad-270-5-2-unsat.smt2; TO          ;	 TO
quad-271-5-3-sat.smt2; TO            ;	 TO
quad-272-5-3-unsat.smt2; TO          ;	 TO
quad-273-5-3-sat.smt2; TO            ;	 TO
quad-274-5-3-unsat.smt2; TO          ;	 TO
quad-275-5-3-sat.smt2; TO            ;	 TO
quad-276-5-3-unsat.smt2; TO          ;	 TO
quad-277-5-4-sat.smt2; TO            ;	 TO
quad-278-5-4-unsat.smt2; TO          ;	 TO
quad-279-5-4-sat.smt2; TO            ;	 TO
quad-280-5-4-unsat.smt2; TO          ;	 TO
quad-281-5-4-sat.smt2; TO            ;	 TO
quad-282-5-4-unsat.smt2; TO          ;	 TO
quad-283-5-4-sat.smt2; TO            ;	 TO
quad-284-5-4-unsat.smt2; TO          ;	 TO
quad-285-5-4-sat.smt2; TO            ;	 TO
quad-286-5-4-unsat.smt2; TO          ;	 TO
quad-287-6-1-sat.smt2; TO            ;	 TO
quad-288-6-1-unsat.smt2; TO          ;	 TO
quad-289-6-1-sat.smt2; TO            ;	 TO
quad-290-6-1-unsat.smt2; TO          ;	 TO
quad-291-6-2-sat.smt2; TO            ;	 TO
quad-292-6-2-unsat.smt2; TO          ;	 TO
quad-293-6-2-sat.smt2; TO            ;	 TO
quad-294-6-2-unsat.smt2; TO          ;	 TO
quad-295-6-3-sat.smt2; TO            ;	 TO
quad-296-6-3-unsat.smt2; TO          ;	 TO
quad-297-6-3-sat.smt2; TO            ;	 TO
quad-298-6-3-unsat.smt2; TO          ;	 TO
quad-299-6-3-sat.smt2; TO            ;	 TO
quad-300-6-3-unsat.smt2; TO          ;	 TO
quad-length-001-1-unsat.smt2; unsat  ;	 0.03
quad-length-002-1-unsat.smt2; TO     ;	 TO
quad-length-003-2-sat.smt2; TO       ;	 TO
